segment,sub_segment_group,organization,sub_segment,location,website,likely_needs,buying_trigger,source_url,verified
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Dilmah / Ceylon Tea Services (MJF Group),Tea,Peliyagoda (Colombo),dilmahtea.com,"Tea cartons, tea bag envelopes, luxury gift boxes, cafe/retail print",Brand crest refresh + new Premium Ceylon Tea line (May 2026); Thambapanni luxury range (Aug 2026); Urban Estate opened Sep 2026,https://www.mi-3.com.au/20-05-2026/dilmah-unveils-brand-refresh-new-premium-ceylon-tea-line,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Akbar Brothers (Pvt) Ltd,Tea,Colombo 10,akbar.com,"Tea cartons, tea bag envelopes, tins/labels, export shipping cartons",Largest tea exporter; two Presidential Export Awards 2025 incl. Globally Outreached Brand,https://www.akbar.com/category/news/,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Basilur Tea Export (Pvt) Ltd,Tea,Angoda,lk.basilurtea.com,"Decorative gift tins, ""Tea Book"" rigid packs, gift boxes, tea bag envelopes","Gift-format specialty tea, eco-certified packaging; ongoing demand (exporter)",https://lk.basilurtea.com/,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Euro-Scan Exports (Mlesna),Tea,Colombo 7,mlesnateas.com,"Gift tea cartons, wooden/tin box labels, tourist retail packs",Leading souvenir/gift tea brand; ongoing demand (exporter),https://en.wikipedia.org/wiki/Mlesna,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,George Steuart Teas,Tea,Colombo,see source,"Tea cartons, tea bag envelopes, tins",Est. 1835 exporter; group also entering pharma (see segment 5),https://en.wikipedia.org/wiki/George_Steuart_Group,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Halpe Tea / Uva Halpewatte Tea Factory,Tea,Ella (Badulla),halpetea.com,"Retail tea cartons, tea bag envelopes, factory-shop gift packs",Exports worldwide; factory tourism retail outlet; ongoing demand,https://www.halpetea.com/our-businesses/exports.html,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,"Watawala Tea Ceylon (Zesta, Watawala Kahata) - Sunshine Holdings",Tea,Colombo (HQ),sunshineholdings.lk,"Zesta luxury cartons, pyramid bag packs, Kahata packets, boutique retail print",Launch of Zesta Luxury Tea Boutique at One Galle Face; premium range push,https://www.ft.lk/Lifestyle/Zesta-to-revive-the-art-of-tea-with-launch-of-luxury-tea-boutique-at-One-Galle-Face/8-689175,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Empire Teas (Pvt) Ltd,Tea,Colombo (verify),see source,"Private-label tea cartons, tea bag envelopes, shipping cartons","Top-3 exporter, 60+ countries; ongoing demand (exporter)",https://www.facebook.com/EmpireTeasSL/,verify
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Anverally & Sons (Pvt) Ltd,Tea,Colombo,see source,"Branded tea packs, tins, private-label cartons","Exports to 32 countries (Europe, Asia, CIS, Middle East); ongoing demand",https://teasrilanka.org/committee-members,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Jafferjee Brothers,Tea,Colombo,see source,"Tea cartons, tea bag envelopes, tins",Family conglomerate exporting since 1944; ongoing demand,https://teasrilanka.org/committee-members,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Imperial Teas Group (Impra),Tea,Colombo-airport road (verify),impratea.com,"Impra brand cartons, tea bag envelopes, tins, gift packs","NCE Gold (Extra Large tea); 50+ countries; 310,000 sq ft factory",https://impratea.com/our-achievements-awards/,verify
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Stassen Exports,Tea,Colombo,see source,"Tea cartons, tea bag envelopes, tins",Long-established leader exporter; ongoing demand,https://teasrilanka.org/committee-members,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Lumbini Tea Valley / Lumbini Tea Exports (Pvt) Ltd,Tea,Deniyaya (Matara),see source,"Premium single-origin cartons, white tea gift boxes, tea bag envelopes",Regenerative-agriculture drive; record 20 awards; direct exports since 1996,https://island.lk/lumbini-tea-valleys-regenerative-drive-poised-to-transform-sri-lankas-tea-exports/,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Tea Talk (Pvt) Ltd,Tea,n/a,see source,"Tea cartons, gift packs, tea bag envelopes",EDB-registered exporter; ongoing demand,https://www.srilankabusiness.com/exporters-directory/company-profiles/tea-talk-pvt-ltd/,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Ceylon Fresh Teas (Pvt) Ltd,Tea,Angoda,see source,"Value-added tea packs, cartons, tea bag envelopes, shipping cartons",Rs 1.5 bn group export turnover; NCE awards for value-added packs,https://www.srilankabusiness.com/exporters-directory/company-profiles/ceylon-fresh-teas-pvt-ltd/,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Damro Exports (Damro Labookellie Tea),Tea,Nuwara Eliya / Colombo,see source,"Retail tea cartons, tea-centre gift packs, tins","12 factories, 5,000 ha; tea centre tourism retail",https://www.srilankabusiness.com/exporters-directory/company-profiles/damro-exports-pvt-ltd/,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,HVA Foods PLC (Heladiv),Tea,Colombo,see source,"Heladiv cartons, tea bag envelopes, iced tea packs",Listed tea exporter; ongoing demand (exporter),https://en.wikipedia.org/wiki/Heladiv,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Finlays Colombo (Alwazah),Tea,Colombo,see source,"Alwazah cartons, private-label packs, shipping cartons",Global integrated tea company; private-label exports; ongoing demand,https://www.srilankabusiness.com/exporters-directory/tea-exporters-in-sri-lanka/,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Venture Tea (Pvt) Ltd,Tea,Colombo,venturetea.com,"Private-label cartons, tea bag envelopes, shipping cartons",One of largest blending plants in Colombo; ongoing demand,https://venturetea.com/,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Bogawantalawa Tea Estates PLC (BPL Teas),Tea,Colombo,bogawantalawa.com,"Retail cartons, pyramid bag packs, iced tea packs, Middle East export packs","Launched premium Bogawantalawa Tea at Tamimi Markets, Saudi Arabia (Jul 2026)",https://www.newswire.lk/2026/07/15/sri-lanka-launches-its-premium-bogawantalawa-tea-at-tamimi-markets-in-saudi-arabia/,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Mabroc Teas (Pvt) Ltd,Tea,Colombo (verify),mabrocteas.com,"Branded cartons, tea bag envelopes, gift tins",Premium exporter; ongoing demand (exporter),https://mabrocteas.com/,verify
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,Samley Teas,Tea,n/a,samleyteas.lk,"Tea cartons, tea bag envelopes",Actively marketing (2026 exporter guide); ongoing demand,https://samleyteas.lk/blogs/top-tea-exporters-in-sri-lanka.html,yes
"Export, FMCG & pharma",Ceylon tea exporters and tea brands,BTE (ceylonblacktea.com) - name unverified,Tea,n/a,ceylonblacktea.com,"Tea cartons, tea bag envelopes",Exporter site found; legal name unverified,https://www.ceylonblacktea.com/,verify
